filepath,label,video_id,num_frames,source_type
data\landmarks\about_about (1).npy,about,about (1),30,landmark_sequence
data\landmarks\about_about (2).npy,about,about (2),30,landmark_sequence
data\landmarks\about_about (3).npy,about,about (3),30,landmark_sequence
data\landmarks\about_about (4).npy,about,about (4),30,landmark_sequence
data\landmarks\about_about (5).npy,about,about (5),30,landmark_sequence
data\landmarks\about_about (6).npy,about,about (6),30,landmark_sequence
data\landmarks\about_about (7).npy,about,about (7),30,landmark_sequence
data\landmarks\about_about (8).npy,about,about (8),30,landmark_sequence
data\landmarks\accept_accept (1).npy,accept,accept (1),30,landmark_sequence
data\landmarks\accept_accept (2).npy,accept,accept (2),30,landmark_sequence
data\landmarks\accept_accept (3).npy,accept,accept (3),30,landmark_sequence
data\landmarks\accept_accept (4).npy,accept,accept (4),30,landmark_sequence
data\landmarks\accept_accept (5).npy,accept,accept (5),30,landmark_sequence
data\landmarks\accept_accept (6).npy,accept,accept (6),30,landmark_sequence
data\landmarks\accept_accept (7).npy,accept,accept (7),30,landmark_sequence
data\landmarks\accept_accept (8).npy,accept,accept (8),30,landmark_sequence
data\landmarks\accept_accept (9).npy,accept,accept (9),30,landmark_sequence
data\landmarks\after_after (1).npy,after,after (1),30,landmark_sequence
data\landmarks\after_after (2).npy,after,after (2),30,landmark_sequence
data\landmarks\after_after (3).npy,after,after (3),30,landmark_sequence
data\landmarks\after_after (4).npy,after,after (4),30,landmark_sequence
data\landmarks\after_after (5).npy,after,after (5),30,landmark_sequence
data\landmarks\after_after (6).npy,after,after (6),30,landmark_sequence
data\landmarks\after_after (7).npy,after,after (7),30,landmark_sequence
data\landmarks\after_after (8).npy,after,after (8),30,landmark_sequence
data\landmarks\afternoon_afternoon (1).npy,afternoon,afternoon (1),30,landmark_sequence
data\landmarks\afternoon_afternoon (2).npy,afternoon,afternoon (2),30,landmark_sequence
data\landmarks\afternoon_afternoon (3).npy,afternoon,afternoon (3),30,landmark_sequence
data\landmarks\afternoon_afternoon (4).npy,afternoon,afternoon (4),30,landmark_sequence
data\landmarks\afternoon_afternoon (5).npy,afternoon,afternoon (5),30,landmark_sequence
data\landmarks\afternoon_afternoon (6).npy,afternoon,afternoon (6),30,landmark_sequence
data\landmarks\afternoon_afternoon (7).npy,afternoon,afternoon (7),30,landmark_sequence
data\landmarks\afternoon_afternoon (8).npy,afternoon,afternoon (8),30,landmark_sequence
data\landmarks\again_again (1).npy,again,again (1),30,landmark_sequence
data\landmarks\again_again (2).npy,again,again (2),30,landmark_sequence
data\landmarks\again_again (3).npy,again,again (3),30,landmark_sequence
data\landmarks\again_again (4).npy,again,again (4),30,landmark_sequence
data\landmarks\again_again (5).npy,again,again (5),30,landmark_sequence
data\landmarks\again_again (6).npy,again,again (6),30,landmark_sequence
data\landmarks\again_again (7).npy,again,again (7),30,landmark_sequence
data\landmarks\again_again (8).npy,again,again (8),30,landmark_sequence
data\landmarks\again_again (9).npy,again,again (9),30,landmark_sequence
data\landmarks\against_against (1).npy,against,against (1),30,landmark_sequence
data\landmarks\against_against (2).npy,against,against (2),30,landmark_sequence
data\landmarks\against_against (3).npy,against,against (3),30,landmark_sequence
data\landmarks\against_against (4).npy,against,against (4),30,landmark_sequence
data\landmarks\against_against (5).npy,against,against (5),30,landmark_sequence
data\landmarks\against_against (6).npy,against,against (6),30,landmark_sequence
data\landmarks\age_age (1).npy,age,age (1),30,landmark_sequence
data\landmarks\age_age (2).npy,age,age (2),30,landmark_sequence
data\landmarks\age_age (3).npy,age,age (3),30,landmark_sequence
data\landmarks\age_age (4).npy,age,age (4),30,landmark_sequence
