filepath,label,source_type,frame_index,video_id,frame_count
data/landmarks/about/about (1).npy,about,landmark_vector,,about_about (1),43
data/skeletons/about/about (1)_frame_000.jpg,about,red_dot_image,0,about_about (1),
data/skeletons/about/about (1)_frame_001.jpg,about,red_dot_image,1,about_about (1),
data/skeletons/about/about (1)_frame_002.jpg,about,red_dot_image,2,about_about (1),
data/skeletons/about/about (1)_frame_003.jpg,about,red_dot_image,3,about_about (1),
data/skeletons/about/about (1)_frame_004.jpg,about,red_dot_image,4,about_about (1),
data/skeletons/about/about (1)_frame_005.jpg,about,red_dot_image,5,about_about (1),
data/skeletons/about/about (1)_frame_006.jpg,about,red_dot_image,6,about_about (1),
data/skeletons/about/about (1)_frame_007.jpg,about,red_dot_image,7,about_about (1),
data/skeletons/about/about (1)_frame_008.jpg,about,red_dot_image,8,about_about (1),
data/skeletons/about/about (1)_frame_009.jpg,about,red_dot_image,9,about_about (1),
data/skeletons/about/about (1)_frame_010.jpg,about,red_dot_image,10,about_about (1),
data/skeletons/about/about (1)_frame_011.jpg,about,red_dot_image,11,about_about (1),
data/skeletons/about/about (1)_frame_012.jpg,about,red_dot_image,12,about_about (1),
data/skeletons/about/about (1)_frame_013.jpg,about,red_dot_image,13,about_about (1),
data/skeletons/about/about (1)_frame_014.jpg,about,red_dot_image,14,about_about (1),
data/skeletons/about/about (1)_frame_015.jpg,about,red_dot_image,15,about_about (1),
data/skeletons/about/about (1)_frame_016.jpg,about,red_dot_image,16,about_about (1),
data/skeletons/about/about (1)_frame_017.jpg,about,red_dot_image,17,about_about (1),
data/skeletons/about/about (1)_frame_018.jpg,about,red_dot_image,18,about_about (1),
data/skeletons/about/about (1)_frame_019.jpg,about,red_dot_image,19,about_about (1),
data/skeletons/about/about (1)_frame_020.jpg,about,red_dot_image,20,about_about (1),
data/skeletons/about/about (1)_frame_021.jpg,about,red_dot_image,21,about_about (1),
data/skeletons/about/about (1)_frame_022.jpg,about,red_dot_image,22,about_about (1),
data/skeletons/about/about (1)_frame_023.jpg,about,red_dot_image,23,about_about (1),
data/skeletons/about/about (1)_frame_024.jpg,about,red_dot_image,24,about_about (1),
data/skeletons/about/about (1)_frame_025.jpg,about,red_dot_image,25,about_about (1),
data/skeletons/about/about (1)_frame_026.jpg,about,red_dot_image,26,about_about (1),
data/skeletons/about/about (1)_frame_027.jpg,about,red_dot_image,27,about_about (1),
data/skeletons/about/about (1)_frame_028.jpg,about,red_dot_image,28,about_about (1),
data/skeletons/about/about (1)_frame_029.jpg,about,red_dot_image,29,about_about (1),
data/skeletons/about/about (1)_frame_030.jpg,about,red_dot_image,30,about_about (1),
data/skeletons/about/about (1)_frame_031.jpg,about,red_dot_image,31,about_about (1),
data/skeletons/about/about (1)_frame_032.jpg,about,red_dot_image,32,about_about (1),
data/skeletons/about/about (1)_frame_033.jpg,about,red_dot_image,33,about_about (1),
data/skeletons/about/about (1)_frame_034.jpg,about,red_dot_image,34,about_about (1),
data/skeletons/about/about (1)_frame_035.jpg,about,red_dot_image,35,about_about (1),
data/skeletons/about/about (1)_frame_036.jpg,about,red_dot_image,36,about_about (1),
data/skeletons/about/about (1)_frame_037.jpg,about,red_dot_image,37,about_about (1),
data/skeletons/about/about (1)_frame_038.jpg,about,red_dot_image,38,about_about (1),
data/skeletons/about/about (1)_frame_039.jpg,about,red_dot_image,39,about_about (1),
data/skeletons/about/about (1)_frame_040.jpg,about,red_dot_image,40,about_about (1),
data/skeletons/about/about (1)_frame_041.jpg,about,red_dot_image,41,about_about (1),
data/skeletons/about/about (1)_frame_042.jpg,about,red_dot_image,42,about_about (1),
data/landmarks/about/about (2).npy,about,landmark_vector,,about_about (2),24
data/skeletons/about/about (2)_frame_000.jpg,about,red_dot_image,0,about_about (2),
data/skeletons/about/about (2)_frame_001.jpg,about,red_dot_image,1,about_about (2),
data/skeletons/about/about (2)_frame_002.jpg,about,red_dot_image,2,about_about (2),
data/skeletons/about/about (2)_frame_003.jpg,about,red_dot_image,3,about_about (2),
data/skeletons/about/about (2)_frame_004.jpg,about,red_dot_image,4,about_about (2),
data/skeletons/about/about (2)_frame_005.jpg,about,red_dot_image,5,about_about (2),
data/skeletons/about/about (2)_frame_006.jpg,about,red_dot_image,6,about_about (2),
data/skeletons/about/about (2)_frame_007.jpg,about,red_dot_image,7,about_about (2),
data/skeletons/about/about (2)_frame_008.jpg,about,red_dot_image,8,about_about (2),
data/skeletons/about/about (2)_frame_009.jpg,about,red_dot_image,9,about_about (2),
data/skeletons/about/about (2)_frame_010.jpg,about,red_dot_image,10,about_about (2),
data/skeletons/about/about (2)_frame_011.jpg,about,red_dot_image,11,about_about (2),
data/skeletons/about/about (2)_frame_012.jpg,about,red_dot_image,12,about_about (2),
data/skeletons/about/about (2)_frame_013.jpg,about,red_dot_image,13,about_about (2),
